연번,요일구분,호선,역번호,출발역,상하구분,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-00시,00시-01시
1307,일요일,4,413,쌍문,상선,6.9,6.3,9.6,15.95,17.05,15.85,14,16.4,16.7,19.4,21.6,23.2,23.9,26.5,26.15,25.25,23.9,18.25,7.95,
1308,일요일,4,414,수유,상선,14.2,6.9,9.6,15.45,16.7,15.6,14.9,16.9,17.9,21,25.15,27.3,28.95,31.4,31.4,31.45,29.85,23.35,9.6,
1309,일요일,4,415,미아,상선,12.65,7,9.7,15.25,16.55,15.7,15.65,17.7,19.6,24.05,28,31.4,33.8,36.85,37.55,38.05,36.65,29.9,12.55,
1310,일요일,4,416,미아삼거리,상선,12.25,7.3,9.65,14.85,16.25,16,15.55,18.7,20.45,24.9,29.5,33.05,35.25,39.2,40.1,42.6,36.65,30.75,14.6,
1311,일요일,4,417,길음,상선,12.25,7.6,9.35,14.15,15.95,15.95,16.65,19.45,21.8,25.55,33.6,36.35,38.3,42.4,43.15,45.8,40.3,33.75,15.9,
1312,일요일,4,418,성신여대입구,상선,11.7,7.15,9.9,14.5,15.8,16.95,17.35,20,22.7,28.85,36.45,38.6,43.3,45.8,47.35,48.45,43.5,38.1,17.7,
1313,일요일,4,419,한성대입구,상선,11.1,7.95,10.4,16.1,17.2,18.4,18.45,21.4,24.65,31.9,37.7,44.35,47.55,50.9,53.15,54.75,48.75,44.4,16.95,
1314,일요일,4,420,혜화,상선,11,8.25,10.6,17.6,18.2,19.7,20.15,22.9,25.55,33.65,39.2,46.3,50.05,52.85,55.35,56.9,50.85,46.65,14.05,
1315,일요일,4,421,동대문,상선,12.9,8.95,11.65,21,22,27.15,30.95,39.15,41.65,40.25,45.55,54,55.9,52.8,53.1,59.95,50.25,43.55,14.75,
1316,일요일,4,422,동대문역사문화공원,상선,11.75,9.35,12.15,22.95,25.95,32.2,35.25,41.55,43.1,40.5,44.75,53.15,55.35,54,53.7,60.65,51.15,45.9,15.75,
1317,일요일,4,423,충무로,상선,8.05,7.3,11.15,20.55,26.85,31.4,34.9,40.95,37.6,35.8,41.5,43.35,47.5,44.5,45.3,46.65,39.75,33.25,12.6,
